part,model,layer,sensitivity
mlp_gate,Meta-Llama-3-8B,20,5.25682553416118e-05
mlp_down,Meta-Llama-3-8B,20,4.5334993046708405e-05
attn_in,Meta-Llama-3-8B,21,2.3958395104273222e-05
mlp_gate,Meta-Llama-3-8B,21,6.226491677807644e-05
mlp_down,Meta-Llama-3-8B,21,5.4852658649906516e-05
attn_in,Meta-Llama-3-8B,22,1.8626806195243262e-05
mlp_gate,Meta-Llama-3-8B,22,6.48412897135131e-05
mlp_down,Meta-Llama-3-8B,22,5.678017987520434e-05
attn_in,Meta-Llama-3-8B,23,1.9537032130756415e-05
mlp_gate,Meta-Llama-3-8B,23,7.07345170667395e-05
mlp_down,Meta-Llama-3-8B,23,5.868830339750275e-05
attn_in,Meta-Llama-3-8B,24,2.3221307856147178e-05
mlp_gate,Meta-Llama-3-8B,24,7.768856448819861e-05
mlp_down,Meta-Llama-3-8B,24,6.239259528229013e-05
attn_in,Meta-Llama-3-8B,25,3.281717363279313e-05
mlp_gate,Meta-Llama-3-8B,25,8.866462303558365e-05
mlp_down,Meta-Llama-3-8B,25,6.630196003243327e-05
attn_in,Meta-Llama-3-8B,26,3.806484892265871e-05
mlp_gate,Meta-Llama-3-8B,26,0.00010366818605689332
mlp_down,Meta-Llama-3-8B,26,7.719753193669021e-05
attn_in,Meta-Llama-3-8B,27,5.681679249391891e-05
mlp_gate,Meta-Llama-3-8B,27,0.0001290496002184227
mlp_down,Meta-Llama-3-8B,27,0.00010146880958927795
attn_in,Meta-Llama-3-8B,28,6.343707354972139e-05
mlp_gate,Meta-Llama-3-8B,28,0.00017864370602183044
mlp_down,Meta-Llama-3-8B,28,0.00013823156768921763
attn_in,Meta-Llama-3-8B,29,9.894864342641085e-05
mlp_gate,Meta-Llama-3-8B,29,0.00025600841036066413
mlp_down,Meta-Llama-3-8B,29,0.00021439717966131866
attn_in,Meta-Llama-3-8B,30,0.00020991287601646036
mlp_gate,Meta-Llama-3-8B,30,0.0004749982035718858
mlp_down,Meta-Llama-3-8B,30,0.0004934174357913435
attn_in,Meta-Llama-3-8B,31,0.00026171901845373213
mlp_gate,Meta-Llama-3-8B,31,0.0021007047034800053
mlp_down,Meta-Llama-3-8B,31,0.10236936062574387
