dataset,part,model,nbits,group_size,layer,sensitivity
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,31,0.002557211322709918
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,31,0.001705257804132998
bos,attn_in,Ministral-8B-Instruct-2410,2,128,32,0.0019546793773770332
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,32,0.0036165588535368443
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,32,0.0025617110077291727
bos,attn_in,Ministral-8B-Instruct-2410,2,128,33,0.0033676549792289734
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,33,0.005290771834552288
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,33,0.0037429663352668285
bos,attn_in,Ministral-8B-Instruct-2410,2,128,34,0.005153891630470753
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,34,0.009892033413052559
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,34,0.007914326153695583
bos,attn_in,Ministral-8B-Instruct-2410,2,128,35,0.004653888754546642
bos,mlp_gate,Ministral-8B-Instruct-2410,2,128,35,0.019883131608366966
bos,mlp_down,Ministral-8B-Instruct-2410,2,128,35,0.01659494638442993
c4,attn_in,Ministral-8B-Instruct-2410,2,128,0,1.41308134971041e-6
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,0,2.8224796551512554e-5
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,0,2.9251721571199596e-5
c4,attn_in,Ministral-8B-Instruct-2410,2,128,1,1.1387671293050516e-5
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,1,1.704501119093038e-5
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,1,1.987878385989461e-5
c4,attn_in,Ministral-8B-Instruct-2410,2,128,2,6.196478352649137e-5
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,2,9.143485658569261e-5
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,2,8.92366879270412e-5
c4,attn_in,Ministral-8B-Instruct-2410,2,128,3,3.973348793806508e-5
c4,mlp_gate,Ministral-8B-Instruct-2410,2,128,3,8.92708994797431e-5
c4,mlp_down,Ministral-8B-Instruct-2410,2,128,3,8.296273153973743e-5
