dataset,part,model,nbits,group_size,layer,sensitivity
pileval,mlp_gate,Llama-2-7b-hf,3,32,28,0.00433586910367012
pileval,mlp_down,Llama-2-7b-hf,3,32,28,0.003426073584705591
pileval,attn_in,Llama-2-7b-hf,3,32,29,0.001295530004426837
pileval,attn_out,Llama-2-7b-hf,3,32,29,0.0007429771358147264
pileval,mlp_gate,Llama-2-7b-hf,3,32,29,0.00521848676726222
pileval,mlp_down,Llama-2-7b-hf,3,32,29,0.00470524188131094
pileval,attn_in,Llama-2-7b-hf,3,32,30,0.0014545278390869498
pileval,attn_out,Llama-2-7b-hf,3,32,30,0.0009956321446225047
pileval,mlp_gate,Llama-2-7b-hf,3,32,30,0.008490437641739845
pileval,mlp_down,Llama-2-7b-hf,3,32,30,0.011870835907757282
pileval,attn_in,Llama-2-7b-hf,3,32,31,0.003081011353060603
pileval,attn_out,Llama-2-7b-hf,3,32,31,0.00125761644449085
pileval,mlp_gate,Llama-2-7b-hf,3,32,31,0.01738024316728115
pileval,mlp_down,Llama-2-7b-hf,3,32,31,0.032843030989170074
pileval,attn_in,Meta-Llama-3-8B,3,32,0,7.449373242707225e-07
pileval,mlp_gate,Meta-Llama-3-8B,3,32,0,1.290545242227381e-06
pileval,mlp_down,Meta-Llama-3-8B,3,32,0,2.3361048988590483e-06
pileval,attn_in,Meta-Llama-3-8B,3,32,1,1.29671718696045e-06
pileval,mlp_gate,Meta-Llama-3-8B,3,32,1,0.0001068881610990502
pileval,mlp_down,Meta-Llama-3-8B,3,32,1,3.247546192142181e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,2,2.8790157102775993e-06
pileval,mlp_gate,Meta-Llama-3-8B,3,32,2,6.452908564824611e-06
pileval,mlp_down,Meta-Llama-3-8B,3,32,2,6.157353254820919e-06
pileval,attn_in,Meta-Llama-3-8B,3,32,3,4.9934842536458746e-06
pileval,mlp_gate,Meta-Llama-3-8B,3,32,3,1.4433471733354963e-05
pileval,mlp_down,Meta-Llama-3-8B,3,32,3,1.1900183380930685e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,4,9.59290537139168e-06
pileval,mlp_gate,Meta-Llama-3-8B,3,32,4,2.4826045773806982e-05
pileval,mlp_down,Meta-Llama-3-8B,3,32,4,2.032453085121233e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,5,1.5235071259667166e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,5,3.5503187973517925e-05
pileval,mlp_down,Meta-Llama-3-8B,3,32,5,3.0042090656934306e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,6,2.0850895452895202e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,6,4.51074265583884e-05
pileval,mlp_down,Meta-Llama-3-8B,3,32,6,3.6901496059726924e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,7,2.7716827389667742e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,7,5.2175557357259095e-05
pileval,mlp_down,Meta-Llama-3-8B,3,32,7,4.1096929635386914e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,8,3.6626744986278936e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,8,5.684147618012503e-05
pileval,mlp_down,Meta-Llama-3-8B,3,32,8,4.5009684981778264e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,9,4.555668056127615e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,9,6.445051985792816e-05
pileval,mlp_down,Meta-Llama-3-8B,3,32,9,5.1771952712442726e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,10,4.476361209526658e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,10,6.575891893589869e-05
pileval,mlp_down,Meta-Llama-3-8B,3,32,10,5.395081825554371e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,11,4.744471880258061e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,11,6.983552157180384e-05
pileval,mlp_down,Meta-Llama-3-8B,3,32,11,5.628777216770686e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,12,4.9910246161744e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,12,8.03275834186934e-05
pileval,mlp_down,Meta-Llama-3-8B,3,32,12,6.149124965304509e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,13,6.255988409975544e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,13,9.244171815225855e-05
pileval,mlp_down,Meta-Llama-3-8B,3,32,13,7.51987608964555e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,14,7.702497532591224e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,14,0.00010982229287037626
pileval,mlp_down,Meta-Llama-3-8B,3,32,14,8.48514901008457e-05
pileval,attn_in,Meta-Llama-3-8B,3,32,15,6.929909432074055e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,15,0.00012673086894210428
pileval,mlp_down,Meta-Llama-3-8B,3,32,15,0.00010867745004361495
pileval,attn_in,Meta-Llama-3-8B,3,32,16,8.205322228604928e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,16,0.00013194777420721948
pileval,mlp_down,Meta-Llama-3-8B,3,32,16,0.00011534181248862296
pileval,attn_in,Meta-Llama-3-8B,3,32,17,6.784059951314703e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,32,17,0.0001526917185401544
pileval,mlp_down,Meta-Llama-3-8B,3,32,17,0.00014006946003064513
pileval,attn_in,Meta-Llama-3-8B,3,32,18,4.693906885222532e-05
