dataset,part,model,nbits,group_size,layer,sensitivity
c4,mlp_gate,Qwen2.5-7B,2,128,16,0.036047037690877914
c4,mlp_down,Qwen2.5-7B,2,128,16,0.02432909980416298
c4,attn_in,Qwen2.5-7B,2,128,17,0.027720555663108826
c4,mlp_gate,Qwen2.5-7B,2,128,17,0.04340242221951485
c4,mlp_down,Qwen2.5-7B,2,128,17,0.030662203207612038
c4,attn_in,Qwen2.5-7B,2,128,18,0.028134703636169434
c4,mlp_gate,Qwen2.5-7B,2,128,18,0.06116018816828728
c4,mlp_down,Qwen2.5-7B,2,128,18,0.04448120668530464
c4,attn_in,Qwen2.5-7B,2,128,19,0.057553067803382874
c4,mlp_gate,Qwen2.5-7B,2,128,19,0.09209809452295303
c4,mlp_down,Qwen2.5-7B,2,128,19,0.06982755661010742
c4,attn_in,Qwen2.5-7B,2,128,20,0.03754711523652077
c4,mlp_gate,Qwen2.5-7B,2,128,20,0.14724084734916687
c4,mlp_down,Qwen2.5-7B,2,128,20,0.11587835848331451
c4,attn_in,Qwen2.5-7B,2,128,21,0.08914720267057419
c4,mlp_gate,Qwen2.5-7B,2,128,21,0.22757123410701752
c4,mlp_down,Qwen2.5-7B,2,128,21,0.1857452541589737
c4,attn_in,Qwen2.5-7B,2,128,22,0.0777558833360672
c4,mlp_gate,Qwen2.5-7B,2,128,22,0.37765172123908997
c4,mlp_down,Qwen2.5-7B,2,128,22,0.3173983097076416
c4,attn_in,Qwen2.5-7B,2,128,23,0.13765645027160645
c4,mlp_gate,Qwen2.5-7B,2,128,23,0.46489813923835754
c4,mlp_down,Qwen2.5-7B,2,128,23,0.43191397190093994
c4,attn_in,Qwen2.5-7B,2,128,24,0.13530005514621735
c4,mlp_gate,Qwen2.5-7B,2,128,24,0.7635006904602051
c4,mlp_down,Qwen2.5-7B,2,128,24,0.5929978489875793
c4,attn_in,Qwen2.5-7B,2,128,25,0.19303393363952637
c4,mlp_gate,Qwen2.5-7B,2,128,25,1.16446852684021
c4,mlp_down,Qwen2.5-7B,2,128,25,0.8713992834091187
c4,attn_in,Qwen2.5-7B,2,128,26,0.4173702597618103
c4,mlp_gate,Qwen2.5-7B,2,128,26,2.39091420173645
c4,mlp_down,Qwen2.5-7B,2,128,26,2.479825973510742
c4,attn_in,Qwen2.5-7B,2,128,27,1.941117763519287
c4,mlp_gate,Qwen2.5-7B,2,128,27,5.618030071258545
c4,mlp_down,Qwen2.5-7B,2,128,27,7.250993251800537
pileval,attn_in,Qwen2.5-7B,2,128,0,0.0016762244049459696
pileval,mlp_gate,Qwen2.5-7B,2,128,0,0.0014587573241442442
pileval,mlp_down,Qwen2.5-7B,2,128,0,0.003644501091912389
pileval,attn_in,Qwen2.5-7B,2,128,1,0.0013180042151361704
pileval,mlp_gate,Qwen2.5-7B,2,128,1,0.0028432735707610846
pileval,mlp_down,Qwen2.5-7B,2,128,1,0.003961330745369196
pileval,attn_in,Qwen2.5-7B,2,128,2,0.0015551620163023472
pileval,mlp_gate,Qwen2.5-7B,2,128,2,0.0059802355244755745
pileval,mlp_down,Qwen2.5-7B,2,128,2,0.007310471497476101
pileval,attn_in,Qwen2.5-7B,2,128,3,0.004371162503957748
pileval,mlp_gate,Qwen2.5-7B,2,128,3,0.26401692628860474
pileval,mlp_down,Qwen2.5-7B,2,128,3,0.2641749382019043
pileval,attn_in,Qwen2.5-7B,2,128,4,0.005747959949076176
pileval,mlp_gate,Qwen2.5-7B,2,128,4,0.013044269755482674
pileval,mlp_down,Qwen2.5-7B,2,128,4,0.09440367668867111
pileval,attn_in,Qwen2.5-7B,2,128,5,0.006434805691242218
pileval,mlp_gate,Qwen2.5-7B,2,128,5,0.014332127757370472
pileval,mlp_down,Qwen2.5-7B,2,128,5,0.012006720528006554
pileval,attn_in,Qwen2.5-7B,2,128,6,0.01257035881280899
pileval,mlp_gate,Qwen2.5-7B,2,128,6,0.03126067295670509
pileval,mlp_down,Qwen2.5-7B,2,128,6,0.02073458954691887
pileval,attn_in,Qwen2.5-7B,2,128,7,0.01346518937498331
pileval,mlp_gate,Qwen2.5-7B,2,128,7,0.03351879119873047
pileval,mlp_down,Qwen2.5-7B,2,128,7,0.030367959290742874
pileval,attn_in,Qwen2.5-7B,2,128,8,0.017886284738779068
pileval,mlp_gate,Qwen2.5-7B,2,128,8,0.039964571595191956
pileval,mlp_down,Qwen2.5-7B,2,128,8,0.031123114749789238
pileval,attn_in,Qwen2.5-7B,2,128,9,0.02932760678231716
pileval,mlp_gate,Qwen2.5-7B,2,128,9,0.04842948541045189
pileval,mlp_down,Qwen2.5-7B,2,128,9,0.037153515964746475
pileval,attn_in,Qwen2.5-7B,2,128,10,0.028204699978232384
pileval,mlp_gate,Qwen2.5-7B,2,128,10,0.04087907820940018
pileval,mlp_down,Qwen2.5-7B,2,128,10,0.03291093558073044
pileval,attn_in,Qwen2.5-7B,2,128,11,0.01859704777598381
pileval,mlp_gate,Qwen2.5-7B,2,128,11,0.03772634640336037
pileval,mlp_down,Qwen2.5-7B,2,128,11,0.02760251611471176
pileval,attn_in,Qwen2.5-7B,2,128,12,0.01801997423171997
pileval,mlp_gate,Qwen2.5-7B,2,128,12,0.036272283643484116
pileval,mlp_down,Qwen2.5-7B,2,128,12,0.026884794235229492
pileval,attn_in,Qwen2.5-7B,2,128,13,0.024082239717245102
pileval,mlp_gate,Qwen2.5-7B,2,128,13,0.03708810359239578
pileval,mlp_down,Qwen2.5-7B,2,128,13,0.026395617052912712
pileval,attn_in,Qwen2.5-7B,2,128,14,0.030781948938965797
pileval,mlp_gate,Qwen2.5-7B,2,128,14,0.03953898698091507
pileval,mlp_down,Qwen2.5-7B,2,128,14,0.02832946740090847
pileval,attn_in,Qwen2.5-7B,2,128,15,0.02734675258398056
pileval,mlp_gate,Qwen2.5-7B,2,128,15,0.0387238934636116
pileval,mlp_down,Qwen2.5-7B,2,128,15,0.026054747402668
pileval,attn_in,Qwen2.5-7B,2,128,16,0.021607449278235435
pileval,mlp_gate,Qwen2.5-7B,2,128,16,0.037977609783411026
pileval,mlp_down,Qwen2.5-7B,2,128,16,0.025562167167663574
pileval,attn_in,Qwen2.5-7B,2,128,17,0.02962043695151806
pileval,mlp_gate,Qwen2.5-7B,2,128,17,0.04617218300700188
pileval,mlp_down,Qwen2.5-7B,2,128,17,0.03289221599698067
pileval,attn_in,Qwen2.5-7B,2,128,18,0.02956739254295826
