quant_method,dataset,part,model,nbits,group_size,layer,sensitivity
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,0,6.637631031480851e-7
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,0,7.137390184652759e-6
hqq,c4,attn_in,Llama-2-7b-hf,3,128,1,8.223900294979103e-6
hqq,c4,attn_out,Llama-2-7b-hf,3,128,1,1.2737556062347721e-5
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,1,2.609330986160785e-4
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,1,0.034441784024238586
hqq,c4,attn_in,Llama-2-7b-hf,3,128,2,1.728501774778124e-5
hqq,c4,attn_out,Llama-2-7b-hf,3,128,2,9.553594281896949e-6
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,2,2.1069723516120575e-5
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,2,2.7416548618930392e-5
hqq,c4,attn_in,Llama-2-7b-hf,3,128,3,4.4090509618399665e-5
hqq,c4,attn_out,Llama-2-7b-hf,3,128,3,1.7401695004082285e-5
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,3,5.197555583436042e-5
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,3,5.0444959924789146e-5
hqq,c4,attn_in,Llama-2-7b-hf,3,128,4,8.909861935535446e-5
hqq,c4,attn_out,Llama-2-7b-hf,3,128,4,3.436993938521482e-5
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,4,1.020353811327368e-4
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,4,1.4470319729298353e-4
hqq,c4,attn_in,Llama-2-7b-hf,3,128,5,1.8147974333260208e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,5,6.738230877090245e-5
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,5,1.6477156896144152e-4
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,5,1.4262500917539e-4
hqq,c4,attn_in,Llama-2-7b-hf,3,128,6,1.8910670769400895e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,6,7.57534071453847e-5
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,6,2.509336336515844e-4
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,6,2.178371651098132e-4
hqq,c4,attn_in,Llama-2-7b-hf,3,128,7,2.709349791985005e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,7,1.1176257976330817e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,7,3.451397642493248e-4
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,7,2.886749862227589e-4
hqq,c4,attn_in,Llama-2-7b-hf,3,128,8,4.8203073674812913e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,8,1.5954917762428522e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,8,4.2396027129143476e-4
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,8,3.43456631526351e-4
hqq,c4,attn_in,Llama-2-7b-hf,3,128,9,6.081957835704088e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,9,2.324342349311337e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,9,5.005195853300393e-4
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,9,3.980539331678301e-4
hqq,c4,attn_in,Llama-2-7b-hf,3,128,10,6.762515404261649e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,10,3.151753917336464e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,10,6.011161603964865e-4
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,10,4.642090934794396e-4
hqq,c4,attn_in,Llama-2-7b-hf,3,128,11,7.011824054643512e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,11,3.142669447697699e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,11,6.779545801691711e-4
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,11,5.394615000113845e-4
hqq,c4,attn_in,Llama-2-7b-hf,3,128,12,8.573984378017485e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,12,3.5259927972219884e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,12,7.614284404553473e-4
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,12,6.150216795504093e-4
hqq,c4,attn_in,Llama-2-7b-hf,3,128,13,9.122535702772439e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,13,4.180124669801444e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,13,9.202936198562384e-4
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,13,7.700894493609667e-4
hqq,c4,attn_in,Llama-2-7b-hf,3,128,14,9.445844334550202e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,14,4.6491940156556666e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,14,0.0010440548649057746
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,14,9.182776557281613e-4
hqq,c4,attn_in,Llama-2-7b-hf,3,128,15,0.0010549337603151798
hqq,c4,attn_out,Llama-2-7b-hf,3,128,15,5.249839159660041e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,15,0.0013062249636277556
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,15,0.001160051440820098
hqq,c4,attn_in,Llama-2-7b-hf,3,128,16,0.0012565309880301356
hqq,c4,attn_out,Llama-2-7b-hf,3,128,16,7.562240934930742e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,16,0.0016812311951071024
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,16,0.0017191731603816152
hqq,c4,attn_in,Llama-2-7b-hf,3,128,17,9.592812275514007e-4
hqq,c4,attn_out,Llama-2-7b-hf,3,128,17,5.1969347987324e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,17,0.0018641181522980332
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,17,0.0018045568140223622
hqq,c4,attn_in,Llama-2-7b-hf,3,128,18,0.0010112086310982704
hqq,c4,attn_out,Llama-2-7b-hf,3,128,18,5.380092188715935e-4
hqq,c4,mlp_gate,Llama-2-7b-hf,3,128,18,0.002198362722992897
hqq,c4,mlp_down,Llama-2-7b-hf,3,128,18,0.0021237297914922237
hqq,c4,attn_in,Llama-2-7b-hf,3,128,19,0.001041489653289318
hqq,c4,attn_out,Llama-2-7b-hf,3,128,19,5.380509537644684e-4
