b1,g1,b2,g2,memmb,model,layer,module,bit_budget
4,32,8,128,8.0078125,Llama-2-7b-hf,19,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,19,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,19,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,19,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,19,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,20,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,20,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,20,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,20,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,20,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,20,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,20,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,21,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,21,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,21,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,21,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,21,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,21,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,21,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,22,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,22,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,22,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,22,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,22,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,22,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,22,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,23,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,23,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,23,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,23,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,23,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,23,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,23,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,24,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,24,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,24,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,24,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,24,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,24,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,24,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,25,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,25,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,25,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,25,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,25,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,25,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,25,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,26,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,26,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,26,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,26,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,26,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,26,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,26,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,27,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,27,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,27,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,27,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,27,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,27,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,27,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,28,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,28,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,28,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,28,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,28,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,28,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,28,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,29,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,29,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,29,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,29,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,29,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,29,mlp.up_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,29,mlp.down_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,30,self_attn.q_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,30,self_attn.k_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,30,self_attn.v_proj,4.51
4,32,8,128,8.0078125,Llama-2-7b-hf,30,self_attn.o_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,30,mlp.gate_proj,4.51
4,32,8,128,21.52099609375,Llama-2-7b-hf,30,mlp.up_proj,4.51
