dataset,part,model,nbits,group_size,layer,sensitivity
c4,attn_in,Meta-Llama-3-8B,3,128,26,0.00023470169981010258
c4,mlp_gate,Meta-Llama-3-8B,3,128,26,0.0006363020511344075
c4,mlp_down,Meta-Llama-3-8B,3,128,26,0.00044649068149738014
c4,attn_in,Meta-Llama-3-8B,3,128,27,0.0003185293753631413
c4,mlp_gate,Meta-Llama-3-8B,3,128,27,0.0007906099781394005
c4,mlp_down,Meta-Llama-3-8B,3,128,27,0.0005801260704174638
c4,attn_in,Meta-Llama-3-8B,3,128,28,0.00038867213879711926
c4,mlp_gate,Meta-Llama-3-8B,3,128,28,0.0010925962124019861
c4,mlp_down,Meta-Llama-3-8B,3,128,28,0.0007859973702579737
c4,attn_in,Meta-Llama-3-8B,3,128,29,0.0005788410198874772
c4,mlp_gate,Meta-Llama-3-8B,3,128,29,0.0015555656282231212
c4,mlp_down,Meta-Llama-3-8B,3,128,29,0.0012721248203888535
c4,attn_in,Meta-Llama-3-8B,3,128,30,0.0013903782237321138
c4,mlp_gate,Meta-Llama-3-8B,3,128,30,0.0029070349410176277
c4,mlp_down,Meta-Llama-3-8B,3,128,30,0.003168259048834443
c4,attn_in,Meta-Llama-3-8B,3,128,31,0.001528566936030984
c4,mlp_gate,Meta-Llama-3-8B,3,128,31,0.013185419142246246
c4,mlp_down,Meta-Llama-3-8B,3,128,31,0.5749917030334473
pileval,attn_in,Meta-Llama-3-8B,3,128,0,1.5446798897755798e-06
pileval,mlp_gate,Meta-Llama-3-8B,3,128,0,2.36177334045351e-06
pileval,mlp_down,Meta-Llama-3-8B,3,128,0,5.2416903599805664e-06
pileval,attn_in,Meta-Llama-3-8B,3,128,1,4.32414253737079e-06
pileval,mlp_gate,Meta-Llama-3-8B,3,128,1,4.586330396705307e-05
pileval,mlp_down,Meta-Llama-3-8B,3,128,1,0.00012476819392759353
pileval,attn_in,Meta-Llama-3-8B,3,128,2,7.247330358950421e-06
pileval,mlp_gate,Meta-Llama-3-8B,3,128,2,1.165756202681223e-05
pileval,mlp_down,Meta-Llama-3-8B,3,128,2,1.1639158401521854e-05
pileval,attn_in,Meta-Llama-3-8B,3,128,3,1.1064742466260213e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,3,2.651957947819028e-05
pileval,mlp_down,Meta-Llama-3-8B,3,128,3,2.1829344404977746e-05
pileval,attn_in,Meta-Llama-3-8B,3,128,4,2.419904740236234e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,4,4.62610405520536e-05
pileval,mlp_down,Meta-Llama-3-8B,3,128,4,3.646433833637275e-05
pileval,attn_in,Meta-Llama-3-8B,3,128,5,3.086595825152472e-05
pileval,mlp_gate,Meta-Llama-3-8B,3,128,5,6.537872104672715e-05
pileval,mlp_down,Meta-Llama-3-8B,3,128,5,5.4652991821058095e-05
