model,module,layer,memmb,param_cnt,bit_budget,b1,g1,b2,g2,params_quant_tot,params_all_tot
Llama-2-7b-hf,mlp.up_proj,16,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,16,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,17,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,17,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,17,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,17,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,17,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,17,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,17,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,18,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,18,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,18,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,18,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,18,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,18,22.182373046875,45088768,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,18,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,19,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,19,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,19,8.25390625,16777216,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,19,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,19,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,19,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,19,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,20,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,20,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,20,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,20,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,20,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,20,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,20,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,21,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,21,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,21,8.25390625,16777216,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,21,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,21,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,21,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,21,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,22,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,22,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,22,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,22,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,22,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,22,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,22,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,23,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,23,8.25390625,16777216,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,23,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,23,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,23,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,23,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,23,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,24,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,24,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,24,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,24,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,24,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,24,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,24,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,25,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,25,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,25,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,25,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,25,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,25,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,25,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,26,8.25390625,16777216,3.13,4,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,26,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.v_proj,26,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.o_proj,26,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.gate_proj,26,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.up_proj,26,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,mlp.down_proj,26,16.807373046875,45088768,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.q_proj,27,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
Llama-2-7b-hf,self_attn.k_proj,27,6.25390625,16777216,3.13,3,128,8,128,6476005376,6738415616
