model,algo,attempt,config,bpp,zeroshot_mem_allot,zeroshot_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,8_13,8.13,465.35009765625,588,0.66552,0.89896,0.6655,54.597707748413086
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,8_25,8.25,467.97509765625,1842,0.66518,0.89902,0.66534,55.59700298309326
CLIP-ViT-B-32-laion2B-s34B-b79K,mxq,kurt-boost-2-3,8_51,8.51,1637.37939453125,2624,0.66554,0.899,0.6656,55.345025300979614
CLIP-ViT-H-14-laion2B-s32B-b79K,fp16,baseline,base,16,5521.12109375,5926,0.77952,0.9523,0.7793000000000001,211.8088111877441
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b2g16,3.02,2127.2880859375,2858,0.74628,0.93934,0.74646,234.1582612991333
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b2g32,2.51,2056.9599609375,2748,0.71986000000000006,0.9277,0.7203,233.864483833313
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b2g64,2.25,2015.595703125,2830,0.67266,0.90354,0.6725,233.5491354465485
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b3g128,3.13,2098.8974609375,2870,0.7645,0.94732,0.7647600000000001,238.13951444625852
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b3g32,3.51,2145.572265625,2870,0.77086,0.9504,0.7711600000000001,238.26983308792117
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b3g64,3.25,2118.74853515625,3014,0.76832,0.94776,0.76828,237.7792532444
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b4g128,4.13,2163.85498046875,3044,0.77672,0.95176,0.77676,233.16496419906616
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b4g32,4.51,2201.49658203125,3288,0.77814,0.95144,0.7782,233.50448942184448
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b4g64,4.25,2419.85498046875,3646,0.77722,0.95152,0.77734,232.85627579689023
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b8g128,8.13,2749.72998046875,3646,0.77934,0.95236,0.77934,233.4017324447632
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b8g32,8.51,2769.10498046875,3560,0.7798,0.95234,0.7796000000000001,233.47622513771057
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,baseline,b8g64,8.25,2458.12158203125,3146,0.7796,0.95236,0.7794800000000001,234.52377653121948
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,2_13,2.13,1999.94873046875,2796,0.53928,0.80548,0.5391,233.53531694412231
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,2_25,2.25,2019.13525390625,2796,0.65188,0.89106,0.65152,233.9732048511505
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,2_51,2.51,2054.88623046875,2812,0.70532,0.9214,0.70536,234.32613134384155
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,kurt-boost-1-1,3_13,3.13,2102.08837890625,2868,0.76434,0.94608,0.76444,237.7197711467743
