layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis,cost_sensi,sensitivity
10,mlp.up_proj,8,64,8,128,0.77880859375,69.642333984375,70778880,3.152513533783804,NA,1.1732303391909e-4
10,mlp.up_proj,8,128,8,128,0.8759765625,68.5711669921875,70778880,3.152513533783804,NA,1.1732303391909e-4
10,mlp.down_proj,2,32,8,128,54.96875,21.15966796875,70778880,3.783258014120437,NA,1.0326859046472e-4
10,mlp.down_proj,2,64,8,128,64,19.017333984375,70778880,3.783258014120437,NA,1.0326859046472e-4
10,mlp.down_proj,2,128,8,128,72.1875,17.9461669921875,70778880,3.783258014120437,NA,1.0326859046472e-4
10,mlp.down_proj,3,32,8,128,23.5,29.59716796875,70778880,3.783258014120437,NA,1.0326859046472e-4
10,mlp.down_proj,3,64,8,128,27.40625,27.454833984375,70778880,3.783258014120437,NA,1.0326859046472e-4
10,mlp.down_proj,3,128,8,128,30.921875,26.3836669921875,70778880,3.783258014120437,NA,1.0326859046472e-4
10,mlp.down_proj,4,32,8,128,10.96875,38.03466796875,70778880,3.783258014120437,NA,1.0326859046472e-4
10,mlp.down_proj,4,64,8,128,12.7890625,35.892333984375,70778880,3.783258014120437,NA,1.0326859046472e-4
10,mlp.down_proj,4,128,8,128,14.4375,34.8211669921875,70778880,3.783258014120437,NA,1.0326859046472e-4
10,mlp.down_proj,8,32,8,128,0.6640625,71.78466796875,70778880,3.783258014120437,NA,1.0326859046472e-4
10,mlp.down_proj,8,64,8,128,0.7734375,69.642333984375,70778880,3.783258014120437,NA,1.0326859046472e-4
10,mlp.down_proj,8,128,8,128,0.86962890625,68.5711669921875,70778880,3.783258014120437,NA,1.0326859046472e-4
11,self_attn.q_proj,2,32,8,128,47.625,7.8369140625,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.q_proj,2,64,8,128,56.90625,7.04345703125,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.q_proj,2,128,8,128,65.375,6.646728515625,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.q_proj,3,32,8,128,20.40625,10.9619140625,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.q_proj,3,64,8,128,24.453125,10.16845703125,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.q_proj,3,128,8,128,28.265625,9.771728515625,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.q_proj,4,32,8,128,9.5234375,14.0869140625,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.q_proj,4,64,8,128,11.40625,13.29345703125,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.q_proj,4,128,8,128,13.203125,12.896728515625,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.q_proj,8,32,8,128,0.576171875,26.5869140625,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.q_proj,8,64,8,128,0.68994140625,25.79345703125,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.q_proj,8,128,8,128,0.794921875,25.396728515625,26214400,4.002172186447971,NA,4.028099283459596e-5
11,self_attn.v_proj,2,32,8,128,28.59375,7.8369140625,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.v_proj,2,64,8,128,33.46875,7.04345703125,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.v_proj,2,128,8,128,37.875,6.646728515625,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.v_proj,3,32,8,128,12.234375,10.9619140625,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.v_proj,3,64,8,128,14.3203125,10.16845703125,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.v_proj,3,128,8,128,16.203125,9.771728515625,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.v_proj,4,32,8,128,5.70703125,14.0869140625,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.v_proj,4,64,8,128,6.68359375,13.29345703125,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.v_proj,4,128,8,128,7.5703125,12.896728515625,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.v_proj,8,32,8,128,0.345458984375,26.5869140625,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.v_proj,8,64,8,128,0.40380859375,25.79345703125,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.v_proj,8,128,8,128,0.4560546875,25.396728515625,26214400,3.194709650506192,NA,4.028099283459596e-5
11,self_attn.k_proj,2,32,8,128,49.0625,7.8369140625,26214400,4.13048267998045,NA,4.028099283459596e-5
11,self_attn.k_proj,2,64,8,128,58.65625,7.04345703125,26214400,4.13048267998045,NA,4.028099283459596e-5
11,self_attn.k_proj,2,128,8,128,67.3125,6.646728515625,26214400,4.13048267998045,NA,4.028099283459596e-5
11,self_attn.k_proj,3,32,8,128,21.03125,10.9619140625,26214400,4.13048267998045,NA,4.028099283459596e-5
11,self_attn.k_proj,3,64,8,128,25.234375,10.16845703125,26214400,4.13048267998045,NA,4.028099283459596e-5
11,self_attn.k_proj,3,128,8,128,29.203125,9.771728515625,26214400,4.13048267998045,NA,4.028099283459596e-5
11,self_attn.k_proj,4,32,8,128,9.8125,14.0869140625,26214400,4.13048267998045,NA,4.028099283459596e-5
11,self_attn.k_proj,4,64,8,128,11.78125,13.29345703125,26214400,4.13048267998045,NA,4.028099283459596e-5
11,self_attn.k_proj,4,128,8,128,13.6328125,12.896728515625,26214400,4.13048267998045,NA,4.028099283459596e-5
