model_type,layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
vision,3,attn.out_proj,3,64,8,128,2.3643946647644043,0.40673828125,1048576
vision,3,attn.out_proj,3,128,8,128,2.8101770877838135,0.390869140625,1048576
vision,3,attn.out_proj,4,32,8,128,0.9072649478912354,0.5634765625,1048576
vision,3,attn.out_proj,4,64,8,128,1.1084777116775513,0.53173828125,1048576
vision,3,attn.out_proj,4,128,8,128,1.3248968124389648,0.515869140625,1048576
vision,3,attn.out_proj,8,32,8,128,0.05490140616893768,1.0634765625,1048576
vision,3,attn.out_proj,8,64,8,128,0.06703867018222809,1.03173828125,1048576
vision,3,attn.out_proj,8,128,8,128,0.07979369163513184,1.015869140625,1048576
vision,3,mlp.c_fc,2,32,8,128,10.82492733001709,1.25390625,4194304
vision,3,mlp.c_fc,2,64,8,128,12.790247917175293,1.126953125,4194304
vision,3,mlp.c_fc,2,128,8,128,14.45355224609375,1.0634765625,4194304
vision,3,mlp.c_fc,3,32,8,128,4.758521556854248,1.75390625,4194304
vision,3,mlp.c_fc,3,64,8,128,5.731418132781982,1.626953125,4194304
vision,3,mlp.c_fc,3,128,8,128,6.633167743682861,1.5634765625,4194304
vision,3,mlp.c_fc,4,32,8,128,2.234445095062256,2.25390625,4194304
vision,3,mlp.c_fc,4,64,8,128,2.7058799266815186,2.126953125,4194304
vision,3,mlp.c_fc,4,128,8,128,3.1601133346557617,2.0634765625,4194304
vision,3,mlp.c_fc,8,32,8,128,0.13582004606723785,4.25390625,4194304
vision,3,mlp.c_fc,8,64,8,128,0.16470342874526978,4.126953125,4194304
vision,3,mlp.c_fc,8,128,8,128,0.19233372807502747,4.0634765625,4194304
vision,3,mlp.c_proj,2,32,8,128,8.76036548614502,1.25390625,4194304
vision,3,mlp.c_proj,2,64,8,128,10.440829277038574,1.126953125,4194304
vision,3,mlp.c_proj,2,128,8,128,12.016292572021484,1.0634765625,4194304
vision,3,mlp.c_proj,3,32,8,128,3.8234894275665283,1.75390625,4194304
vision,3,mlp.c_proj,3,64,8,128,4.622824668884277,1.626953125,4194304
vision,3,mlp.c_proj,3,128,8,128,5.454902172088623,1.5634765625,4194304
vision,3,mlp.c_proj,4,32,8,128,1.7866551876068115,2.25390625,4194304
vision,3,mlp.c_proj,4,64,8,128,2.17391037940979,2.126953125,4194304
vision,3,mlp.c_proj,4,128,8,128,2.5891082286834717,2.0634765625,4194304
vision,3,mlp.c_proj,8,32,8,128,0.10840077698230743,4.25390625,4194304
vision,3,mlp.c_proj,8,64,8,128,0.13175013661384583,4.126953125,4194304
vision,3,mlp.c_proj,8,128,8,128,0.1564406305551529,4.0634765625,4194304
vision,4,attn.out_proj,2,32,8,128,4.806666374206543,0.3134765625,1048576
vision,4,attn.out_proj,2,64,8,128,5.687951564788818,0.28173828125,1048576
vision,4,attn.out_proj,2,128,8,128,6.541213512420654,0.265869140625,1048576
vision,4,attn.out_proj,3,32,8,128,2.0599377155303955,0.4384765625,1048576
vision,4,attn.out_proj,3,64,8,128,2.4493329524993896,0.40673828125,1048576
vision,4,attn.out_proj,3,128,8,128,2.8327009677886963,0.390869140625,1048576
vision,4,attn.out_proj,4,32,8,128,0.9618096947669983,0.5634765625,1048576
vision,4,attn.out_proj,4,64,8,128,1.1438462734222412,0.53173828125,1048576
vision,4,attn.out_proj,4,128,8,128,1.3230030536651611,0.515869140625,1048576
vision,4,attn.out_proj,8,32,8,128,0.05822267010807991,1.0634765625,1048576
vision,4,attn.out_proj,8,64,8,128,0.06917309761047363,1.03173828125,1048576
vision,4,attn.out_proj,8,128,8,128,0.07972503453493118,1.015869140625,1048576
vision,4,mlp.c_fc,2,32,8,128,11.089754104614258,1.25390625,4194304
vision,4,mlp.c_fc,2,64,8,128,13.077611923217773,1.126953125,4194304
vision,4,mlp.c_fc,2,128,8,128,14.801234245300293,1.0634765625,4194304
vision,4,mlp.c_fc,3,32,8,128,4.823218822479248,1.75390625,4194304
vision,4,mlp.c_fc,3,64,8,128,5.760878086090088,1.626953125,4194304
vision,4,mlp.c_fc,3,128,8,128,6.634818077087402,1.5634765625,4194304
vision,4,mlp.c_fc,4,32,8,128,2.2635836601257324,2.25390625,4194304
vision,4,mlp.c_fc,4,64,8,128,2.71467661857605,2.126953125,4194304
vision,4,mlp.c_fc,4,128,8,128,3.1466805934906006,2.0634765625,4194304
vision,4,mlp.c_fc,8,32,8,128,0.13800960779190063,4.25390625,4194304
vision,4,mlp.c_fc,8,64,8,128,0.16580112278461456,4.126953125,4194304
vision,4,mlp.c_fc,8,128,8,128,0.19252216815948486,4.0634765625,4194304
vision,4,mlp.c_proj,2,32,8,128,8.86883544921875,1.25390625,4194304
vision,4,mlp.c_proj,2,64,8,128,10.522978782653809,1.126953125,4194304
vision,4,mlp.c_proj,2,128,8,128,12.08477783203125,1.0634765625,4194304
vision,4,mlp.c_proj,3,32,8,128,3.8467273712158203,1.75390625,4194304
vision,4,mlp.c_proj,3,64,8,128,4.61757230758667,1.626953125,4194304
vision,4,mlp.c_proj,3,128,8,128,5.418722629547119,1.5634765625,4194304
vision,4,mlp.c_proj,4,32,8,128,1.7988537549972534,2.25390625,4194304
vision,4,mlp.c_proj,4,64,8,128,2.1714751720428467,2.126953125,4194304
vision,4,mlp.c_proj,4,128,8,128,2.561851978302002,2.0634765625,4194304
vision,4,mlp.c_proj,8,32,8,128,0.10902190208435059,4.25390625,4194304
vision,4,mlp.c_proj,8,64,8,128,0.13136303424835205,4.126953125,4194304
vision,4,mlp.c_proj,8,128,8,128,0.15456436574459076,4.0634765625,4194304
vision,5,attn.out_proj,2,32,8,128,5.163173675537109,0.3134765625,1048576
vision,5,attn.out_proj,2,64,8,128,6.063546180725098,0.28173828125,1048576
vision,5,attn.out_proj,2,128,8,128,6.894063472747803,0.265869140625,1048576
vision,5,attn.out_proj,3,32,8,128,2.207796573638916,0.4384765625,1048576
vision,5,attn.out_proj,3,64,8,128,2.5967960357666016,0.40673828125,1048576
vision,5,attn.out_proj,3,128,8,128,2.9602408409118652,0.390869140625,1048576
vision,5,attn.out_proj,4,32,8,128,1.0290652513504028,0.5634765625,1048576
vision,5,attn.out_proj,4,64,8,128,1.2115098237991333,0.53173828125,1048576
vision,5,attn.out_proj,4,128,8,128,1.381522536277771,0.515869140625,1048576
vision,5,attn.out_proj,8,32,8,128,0.06239789351820946,1.0634765625,1048576
vision,5,attn.out_proj,8,64,8,128,0.07339595258235931,1.03173828125,1048576
vision,5,attn.out_proj,8,128,8,128,0.0833243653178215,1.015869140625,1048576
vision,5,mlp.c_fc,2,32,8,128,11.134607315063477,1.25390625,4194304
vision,5,mlp.c_fc,2,64,8,128,13.132534980773926,1.126953125,4194304
vision,5,mlp.c_fc,2,128,8,128,14.928112983703613,1.0634765625,4194304
vision,5,mlp.c_fc,3,32,8,128,4.796428203582764,1.75390625,4194304
vision,5,mlp.c_fc,3,64,8,128,5.697420597076416,1.626953125,4194304
vision,5,mlp.c_fc,3,128,8,128,6.534884929656982,1.5634765625,4194304
vision,5,mlp.c_fc,4,32,8,128,2.2389187812805176,2.25390625,4194304
vision,5,mlp.c_fc,4,64,8,128,2.663278818130493,2.126953125,4194304
vision,5,mlp.c_fc,4,128,8,128,3.0626425743103027,2.0634765625,4194304
vision,5,mlp.c_fc,8,32,8,128,0.1359514743089676,4.25390625,4194304
vision,5,mlp.c_fc,8,64,8,128,0.16157032549381256,4.126953125,4194304
vision,5,mlp.c_fc,8,128,8,128,0.18523456156253815,4.0634765625,4194304
vision,5,mlp.c_proj,2,32,8,128,9.143525123596191,1.25390625,4194304
vision,5,mlp.c_proj,2,64,8,128,10.804407119750977,1.126953125,4194304
vision,5,mlp.c_proj,2,128,8,128,12.32597827911377,1.0634765625,4194304
vision,5,mlp.c_proj,3,32,8,128,3.9221248626708984,1.75390625,4194304
vision,5,mlp.c_proj,3,64,8,128,4.655333042144775,1.626953125,4194304
vision,5,mlp.c_proj,3,128,8,128,5.361846923828125,1.5634765625,4194304
vision,5,mlp.c_proj,4,32,8,128,1.8290727138519287,2.25390625,4194304
vision,5,mlp.c_proj,4,64,8,128,2.171870708465576,2.126953125,4194304
vision,5,mlp.c_proj,4,128,8,128,2.5051374435424805,2.0634765625,4194304
vision,5,mlp.c_proj,8,32,8,128,0.11092817783355713,4.25390625,4194304
vision,5,mlp.c_proj,8,64,8,128,0.13147711753845215,4.126953125,4194304
vision,5,mlp.c_proj,8,128,8,128,0.1510246843099594,4.0634765625,4194304
vision,6,attn.out_proj,2,32,8,128,5.1733527183532715,0.3134765625,1048576
vision,6,attn.out_proj,2,64,8,128,6.067375183105469,0.28173828125,1048576
vision,6,attn.out_proj,2,128,8,128,6.896365165710449,0.265869140625,1048576
vision,6,attn.out_proj,3,32,8,128,2.2119998931884766,0.4384765625,1048576
vision,6,attn.out_proj,3,64,8,128,2.596747636795044,0.40673828125,1048576
