model_type,layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
vision,3,attn.out_proj,8,32,8,128,0.042606793344020844,0.59820556640625,589824
vision,3,attn.out_proj,8,64,8,128,0.050392139703035355,0.580352783203125,589824
vision,3,attn.out_proj,8,128,8,128,0.05771344155073166,0.5714263916015625,589824
vision,3,mlp.c_fc,2,32,8,128,8.47494125366211,0.705322265625,2359296
vision,3,mlp.c_fc,2,64,8,128,10.082805633544922,0.6339111328125,2359296
vision,3,mlp.c_fc,2,128,8,128,11.549962043762207,0.59820556640625,2359296
vision,3,mlp.c_fc,3,32,8,128,3.6546263694763184,0.986572265625,2359296
vision,3,mlp.c_fc,3,64,8,128,4.391681671142578,0.9151611328125,2359296
vision,3,mlp.c_fc,3,128,8,128,5.095606327056885,0.87945556640625,2359296
vision,3,mlp.c_fc,4,32,8,128,1.7065355777740479,1.267822265625,2359296
vision,3,mlp.c_fc,4,64,8,128,2.050750970840454,1.1964111328125,2359296
vision,3,mlp.c_fc,4,128,8,128,2.3856451511383057,1.16070556640625,2359296
vision,3,mlp.c_fc,8,32,8,128,0.10344040393829346,2.392822265625,2359296
vision,3,mlp.c_fc,8,64,8,128,0.12399496138095856,2.3214111328125,2359296
vision,3,mlp.c_fc,8,128,8,128,0.1439141482114792,2.28570556640625,2359296
vision,3,mlp.c_proj,2,32,8,128,6.277030944824219,0.705322265625,2359296
vision,3,mlp.c_proj,2,64,8,128,7.414824485778809,0.6339111328125,2359296
vision,3,mlp.c_proj,2,128,8,128,8.46260929107666,0.59820556640625,2359296
vision,3,mlp.c_proj,3,32,8,128,2.693903923034668,0.986572265625,2359296
vision,3,mlp.c_proj,3,64,8,128,3.1912341117858887,0.9151611328125,2359296
vision,3,mlp.c_proj,3,128,8,128,3.6711747646331787,0.87945556640625,2359296
vision,3,mlp.c_proj,4,32,8,128,1.256372094154358,1.267822265625,2359296
vision,3,mlp.c_proj,4,64,8,128,1.489571452140808,1.1964111328125,2359296
vision,3,mlp.c_proj,4,128,8,128,1.7132800817489624,1.16070556640625,2359296
vision,3,mlp.c_proj,8,32,8,128,0.0760984867811203,2.392822265625,2359296
vision,3,mlp.c_proj,8,64,8,128,0.09016053378582001,2.3214111328125,2359296
vision,3,mlp.c_proj,8,128,8,128,0.10330581665039062,2.28570556640625,2359296
vision,4,attn.out_proj,2,32,8,128,3.6005449295043945,0.17633056640625,589824
vision,4,attn.out_proj,2,64,8,128,4.234583377838135,0.158477783203125,589824
vision,4,attn.out_proj,2,128,8,128,4.823236465454102,0.1495513916015625,589824
vision,4,attn.out_proj,3,32,8,128,1.537175178527832,0.24664306640625,589824
vision,4,attn.out_proj,3,64,8,128,1.8082749843597412,0.228790283203125,589824
vision,4,attn.out_proj,3,128,8,128,2.064760446548462,0.2198638916015625,589824
vision,4,attn.out_proj,4,32,8,128,0.7176753878593445,0.31695556640625,589824
vision,4,attn.out_proj,4,64,8,128,0.8439772129058838,0.299102783203125,589824
