type,module,param_count,layer,percentile_0,percentile_99,percentile_999,percentile_9999,percentile_100,kurtosis
text,mlp.c_fc.bias,2048,3,0.0026433549355715513,2.0024120593070984,2.423172787189496,2.5937928500413823,2.6001880168914795,8.534471934946502
text,mlp.c_fc.bias,2048,4,0.009651890955865383,1.9879197001457212,2.312321492195133,2.529665038776366,2.557739019393921,9.840178511456475
text,mlp.c_fc.bias,2048,5,0.07781285047531128,1.982892904281616,2.4384943277835935,2.546908025240896,2.548588991165161,6.503417545790186
text,mlp.c_fc.bias,2048,6,0.11576071381568909,2.0132905006408692,2.299724033832554,2.4238365790128396,2.451517343521118,9.532105251829515
text,mlp.c_fc.bias,2048,7,0.10099195688962936,2.1008229541778562,2.5512791969776383,2.748226494359953,2.7636239528656006,12.702056276658872
text,mlp.c_fc.bias,2048,8,0.07254661619663239,2.198073723316192,2.6573991127014556,2.9052873762130145,2.957993268966675,8.72031955940241
text,mlp.c_fc.bias,2048,9,0.11652406305074692,2.093732314109802,2.5295431394577115,2.893423884963924,2.9512104988098145,6.354261356021711
text,mlp.c_fc.bias,2048,10,0.05132876709103584,2.1403973484039303,2.465957725524906,2.586045032930366,2.593228340148926,7.339171732495825
text,mlp.c_fc.bias,2048,11,0.029315955936908722,2.014561035633087,2.41816410756113,2.8552322086333786,2.894573926925659,3.874671013159447
text,mlp.c_fc.weight,1048576,0,5.075246178876114e-08,0.04413565155118704,0.057921506278217384,0.07910347415133369,0.7445710301399231,18.890344642798922
text,mlp.c_fc.weight,1048576,1,2.0528762689764335e-08,0.043738082982599735,0.05621460434049461,0.06734102450311097,0.15475545823574066,3.0800089847603167
text,mlp.c_fc.weight,1048576,2,2.8246560646039143e-08,0.04321743082255125,0.05577629879117137,0.0669979539513513,0.13379515707492828,3.112510371474206
text,mlp.c_fc.weight,1048576,3,2.1322264842638106e-08,0.04285311419516802,0.05570224942639509,0.06715831948442992,0.13138434290885925,3.124703500598623
text,mlp.c_fc.weight,1048576,4,3.1334614902789326e-09,0.04237088933587074,0.054892864450815114,0.06697598660361787,0.1390780657529831,3.1205782672974403
text,mlp.c_fc.weight,1048576,5,8.703228360218418e-09,0.04223713930696249,0.054749099444598194,0.0660566290095428,0.20696794986724854,3.12209161166918
text,mlp.c_fc.weight,1048576,6,1.2127812532014559e-08,0.041797525249421597,0.05421383539214746,0.06678433764725804,0.132198303937912,3.1043126095541482
text,mlp.c_fc.weight,1048576,7,3.544530002841384e-08,0.04128787573426962,0.05369310611858969,0.06595630342140668,0.1785925328731537,3.1152966389066306
text,mlp.c_fc.weight,1048576,8,1.2967537266206364e-08,0.04037396423518658,0.052554655354471666,0.06517750399186618,0.11961480975151062,3.1079712489156552
text,mlp.c_fc.weight,1048576,9,4.115799256965147e-08,0.03946919273585081,0.050860430393368204,0.062204993087786986,0.22824610769748688,3.1305828189206824
text,mlp.c_fc.weight,1048576,10,2.703701262873892e-08,0.039528343826532364,0.05174653930589741,0.06493701534345399,0.1478780061006546,3.144641316115429
text,mlp.c_fc.weight,1048576,11,3.262254821834176e-08,0.041316586546599865,0.05461479937657738,0.0687941892072532,0.13523980975151062,3.227518868269559
text,mlp.c_proj.bias,512,0,4.3388041376601905e-05,0.26319844931364056,1.1648383765817005,1.609684294754193,1.6591116189956665,72.30895278777923
text,mlp.c_proj.bias,512,1,4.111175258003641e-06,0.15047182530164685,0.7200881558657037,1.2038862155675085,1.2576415538787842,136.6034982289993
text,mlp.c_proj.bias,512,2,2.083271465380676e-05,0.20491028890013693,0.24650500287115598,0.2500042836561793,0.2503930926322937,3.053854955475611
text,mlp.c_proj.bias,512,3,6.792265048716217e-05,0.22230629131197918,0.40541541075706716,0.43853326687812255,0.4422130286693573,4.494761858225619
text,mlp.c_proj.bias,512,4,2.3348706235992722e-05,0.24857675686478614,0.4808874081969303,0.5401764090001485,0.546764075756073,4.40400302622519
text,mlp.c_proj.bias,512,5,0.00043007556814700365,0.3253974875807761,0.7071837301850403,0.8262330841600697,0.8394607901573181,6.42260449815106
text,mlp.c_proj.bias,512,6,0.0001207072491524741,0.3134130731225011,0.9706100658178599,1.3496364159941043,1.391750454902649,29.939847947210144
text,mlp.c_proj.bias,512,7,0.0006419979617930949,0.3105746230483054,1.5169949468374895,2.4193666690228874,2.519630193710327,126.87046225436956
text,mlp.c_proj.bias,512,8,0.00039558083517476916,0.21704372763633728,1.6340633060932743,2.4546192171810697,2.5457921028137207,197.78095065228737
text,mlp.c_proj.bias,512,9,1.5394578440464102e-05,0.20421538025140748,1.0820470716953718,1.701770415568249,1.770628571510315,154.0641752506831
text,mlp.c_proj.bias,512,10,0.00013868148380424827,0.2507877033948898,0.5678772484362282,0.7886611238628259,0.8131926655769348,11.529338892975574
text,mlp.c_proj.bias,512,11,0.002331043593585491,0.8302628028392791,3.063091262817525,5.064599417113926,5.286989212036133,52.72671698322841
text,mlp.c_proj.weight,1048576,0,1.2161569529212102e-08,0.028902700636535883,0.03808131134137574,0.05132874198256692,0.35422760248184204,8.257733339213775
text,mlp.c_proj.weight,1048576,1,4.9829331771888974e-08,0.030921976547688246,0.04071519309654873,0.050802117539568585,0.12255196273326874,3.2167251445240903
text,mlp.c_proj.weight,1048576,2,5.167375416448294e-09,0.030952346045523882,0.04132189890369779,0.05205017763185894,0.09629692137241364,3.292999208834084
text,mlp.c_proj.weight,1048576,3,3.2107145830906347e-09,0.03118052426725626,0.04165465617552472,0.05588080249726487,0.12924057245254517,3.365812129846043
text,mlp.c_proj.weight,1048576,4,4.203928583024208e-08,0.03179587610065937,0.04218146894127148,0.052954915855078215,0.14814703166484833,3.3007157471391952
text,mlp.c_proj.weight,1048576,5,4.739370496054107e-08,0.03273592796176672,0.04358581025153722,0.05537509831595866,0.18055573105812073,3.399940581104202
