model_type,layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params
vision,4,mlp.c_fc,4,128,8,128,2.6106455326080322,3.22418212890625,6553600
vision,4,mlp.c_fc,8,32,8,128,0.12165495753288269,6.646728515625,6553600
vision,4,mlp.c_fc,8,64,8,128,0.14708822965621948,6.4483642578125,6553600
vision,4,mlp.c_fc,8,128,8,128,0.17102234065532684,6.34918212890625,6553600
vision,4,mlp.c_proj,2,32,8,128,7.44351053237915,1.959228515625,6553600
vision,4,mlp.c_proj,2,64,8,128,8.793272018432617,1.7608642578125,6553600
vision,4,mlp.c_proj,2,128,8,128,10.051722526550293,1.66168212890625,6553600
vision,4,mlp.c_proj,3,32,8,128,3.192727565765381,2.740478515625,6553600
vision,4,mlp.c_proj,3,64,8,128,3.783813953399658,2.5421142578125,6553600
vision,4,mlp.c_proj,3,128,8,128,4.355423450469971,2.44293212890625,6553600
vision,4,mlp.c_proj,4,32,8,128,1.4919031858444214,3.521728515625,6553600
vision,4,mlp.c_proj,4,64,8,128,1.7694685459136963,3.3233642578125,6553600
vision,4,mlp.c_proj,4,128,8,128,2.041292428970337,3.22418212890625,6553600
vision,4,mlp.c_proj,8,32,8,128,0.09202263504266739,6.646728515625,6553600
vision,4,mlp.c_proj,8,64,8,128,0.10838838666677475,6.4483642578125,6553600
vision,4,mlp.c_proj,8,128,8,128,0.12399286031723022,6.34918212890625,6553600
vision,5,attn.out_proj,2,32,8,128,4.685072898864746,0.48980712890625,1638400
vision,5,attn.out_proj,2,64,8,128,5.513307571411133,0.440216064453125,1638400
vision,5,attn.out_proj,2,128,8,128,6.28242826461792,0.4154205322265625,1638400
vision,5,attn.out_proj,3,32,8,128,2.0050792694091797,0.68511962890625,1638400
vision,5,attn.out_proj,3,64,8,128,2.3618524074554443,0.635528564453125,1638400
vision,5,attn.out_proj,3,128,8,128,2.6966283321380615,0.6107330322265625,1638400
vision,5,attn.out_proj,4,32,8,128,0.9354958534240723,0.88043212890625,1638400
vision,5,attn.out_proj,4,64,8,128,1.1026568412780762,0.830841064453125,1638400
vision,5,attn.out_proj,4,128,8,128,1.2587089538574219,0.8060455322265625,1638400
vision,5,attn.out_proj,8,32,8,128,0.05665406957268715,1.66168212890625,1638400
vision,5,attn.out_proj,8,64,8,128,0.06677645444869995,1.612091064453125,1638400
vision,5,attn.out_proj,8,128,8,128,0.07595061510801315,1.5872955322265625,1638400
vision,5,mlp.c_fc,2,32,8,128,10.25594425201416,1.959228515625,6553600
vision,5,mlp.c_fc,2,64,8,128,12.02734661102295,1.7608642578125,6553600
vision,5,mlp.c_fc,2,128,8,128,13.53829574584961,1.66168212890625,6553600
vision,5,mlp.c_fc,3,32,8,128,4.456730365753174,2.740478515625,6553600
vision,5,mlp.c_fc,3,64,8,128,5.271678924560547,2.5421142578125,6553600
vision,5,mlp.c_fc,3,128,8,128,6.001213073730469,2.44293212890625,6553600
vision,5,mlp.c_fc,4,32,8,128,2.1103410720825195,3.521728515625,6553600
vision,5,mlp.c_fc,4,64,8,128,2.5067672729492188,3.3233642578125,6553600
vision,5,mlp.c_fc,4,128,8,128,2.8646652698516846,3.22418212890625,6553600
vision,5,mlp.c_fc,8,32,8,128,0.12951430678367615,6.646728515625,6553600
vision,5,mlp.c_fc,8,64,8,128,0.15517650544643402,6.4483642578125,6553600
vision,5,mlp.c_fc,8,128,8,128,0.17891168594360352,6.34918212890625,6553600
vision,5,mlp.c_proj,2,32,8,128,8.331770896911621,1.959228515625,6553600
vision,5,mlp.c_proj,2,64,8,128,9.810388565063477,1.7608642578125,6553600
vision,5,mlp.c_proj,2,128,8,128,11.16957950592041,1.66168212890625,6553600
vision,5,mlp.c_proj,3,32,8,128,3.573784828186035,2.740478515625,6553600
vision,5,mlp.c_proj,3,64,8,128,4.221437931060791,2.5421142578125,6553600
vision,5,mlp.c_proj,3,128,8,128,4.839522838592529,2.44293212890625,6553600
vision,5,mlp.c_proj,4,32,8,128,1.6679929494857788,3.521728515625,6553600
vision,5,mlp.c_proj,4,64,8,128,1.9726403951644897,3.3233642578125,6553600
vision,5,mlp.c_proj,4,128,8,128,2.2638771533966064,3.22418212890625,6553600
vision,5,mlp.c_proj,8,32,8,128,0.10197795927524567,6.646728515625,6553600
vision,5,mlp.c_proj,8,64,8,128,0.1200718954205513,6.4483642578125,6553600
vision,5,mlp.c_proj,8,128,8,128,0.13706816732883453,6.34918212890625,6553600
vision,6,attn.out_proj,2,32,8,128,4.914944171905518,0.48980712890625,1638400
vision,6,attn.out_proj,2,64,8,128,5.74868631362915,0.440216064453125,1638400
vision,6,attn.out_proj,2,128,8,128,6.507926940917969,0.4154205322265625,1638400
vision,6,attn.out_proj,3,32,8,128,2.101162910461426,0.68511962890625,1638400
vision,6,attn.out_proj,3,64,8,128,2.4581894874572754,0.635528564453125,1638400
vision,6,attn.out_proj,3,128,8,128,2.785984516143799,0.6107330322265625,1638400
