type,module,param_count,layer,percentile_0,percentile_99,percentile_999,percentile_9999,percentile_100,kurtosis
text,mlp.c_fc.weight,2359296,7,7.163083903805045e-09,0.04302960876375429,0.05544129135087137,0.0665756941102413,0.11708729714155197,3.0531601497538126
text,mlp.c_fc.weight,2359296,8,3.0764708558450593e-09,0.042566261999309046,0.05487891737371721,0.06655216237902525,0.1768134981393814,3.0696775698776992
text,mlp.c_fc.weight,2359296,9,7.762695375390649e-09,0.04197013117372988,0.05411653364077219,0.06575956388190175,0.1277666836977005,3.065453985089178
text,mlp.c_fc.weight,2359296,10,1.3770979911953418e-08,0.04147594738751645,0.05382933828979765,0.06542079937085499,0.12984123826026917,3.067657384247557
text,mlp.c_fc.weight,2359296,11,1.0393673477437915e-08,0.042158518917858434,0.05481837792322044,0.06601844821124678,0.09801994264125824,3.086129858871849
text,mlp.c_proj.bias,768,0,0.0009129099198617041,0.5667590850591696,1.5007486431599002,1.8840050825357029,1.9265891313552856,16.831738076720704
text,mlp.c_proj.bias,768,1,5.930741463089362e-05,0.2416326241195205,0.4992467918992226,0.707264210373141,0.7303772568702698,8.344886340889138
text,mlp.c_proj.bias,768,2,0.00030713091837242246,0.18633459523320242,0.5171822862923294,0.6862007256060658,0.7049805521965027,13.224992055440767
text,mlp.c_proj.bias,768,3,0.0010588178411126137,0.22244167029857714,0.4419116547108008,0.794905583763085,0.8341271281242371,12.870565912618279
text,mlp.c_proj.bias,768,4,0.00011479786917334422,0.22766899347305306,0.780931032300088,1.829664529025443,1.9461904764175415,132.8441593955421
text,mlp.c_proj.bias,768,5,0.00022290066408459097,0.22228827461600317,0.771227724671446,1.7013302571891749,1.8046749830245972,102.14636089118392
text,mlp.c_proj.bias,768,6,2.8330268833087757e-05,0.2569223222136499,0.6862027727366324,1.6266883500694227,1.7311867475509644,76.80225121589606
text,mlp.c_proj.bias,768,7,0.00025265870499424636,0.2577195654809485,0.6944447453618205,0.8707193880855849,0.8903054594993591,14.688838516044061
text,mlp.c_proj.bias,768,8,1.8389859178569168e-05,0.21323944643139842,0.4689188652634622,0.47076352291703205,0.47096848487854004,6.408565829178184
text,mlp.c_proj.bias,768,9,3.777915480895899e-05,0.2882645237445834,1.216685053825512,2.7313980159281073,2.8996994495391846,198.18516727901834
text,mlp.c_proj.bias,768,10,5.04180061398074e-05,0.4420873931050301,0.9031223137379469,1.7823682256459255,1.880062222480774,22.975134952090812
text,mlp.c_proj.bias,768,11,0.0008459092350676656,1.1360516095161455,3.4978847668172377,5.139062358593766,5.321415424346924,21.100636846089042
text,mlp.c_proj.weight,2359296,0,3.6461869967752136e-08,0.03483122903853654,0.04544332375749959,0.05784516386501452,0.46030914783477783,16.411416535361464
text,mlp.c_proj.weight,2359296,1,4.983752646681161e-11,0.0362028883770108,0.046720242127776285,0.05717893642373273,0.6378786563873291,10.636934397271798
text,mlp.c_proj.weight,2359296,2,5.490522259066211e-09,0.03602153751999135,0.04672876089811334,0.056276631902902066,0.6717720627784729,5.467879831695406
text,mlp.c_proj.weight,2359296,3,6.525334717011333e-10,0.03586400281637904,0.04646580923348666,0.055612155903130275,0.16487760841846466,3.117101945617834
text,mlp.c_proj.weight,2359296,4,8.303033816048355e-09,0.03622759077697989,0.04705401787534392,0.05690968301147139,0.20961448550224304,3.162125318135728
text,mlp.c_proj.weight,2359296,5,4.080533244632534e-09,0.03661732561886304,0.047453186586499246,0.05747428999468683,0.14183540642261505,3.114353715482094
text,mlp.c_proj.weight,2359296,6,7.425929204885051e-09,0.03770591355860226,0.049023723341524786,0.05971896103396976,0.19791823625564575,3.1560610360682673
text,mlp.c_proj.weight,2359296,7,1.887977774117644e-08,0.038180144131183605,0.04972187228500849,0.06059974528290097,0.2603257894515991,3.230989551532942
text,mlp.c_proj.weight,2359296,8,5.998733065837314e-09,0.03906297422945495,0.05112636994570534,0.06288751182332578,0.2637234628200531,3.273957420333387
text,mlp.c_proj.weight,2359296,9,1.2995676534899303e-08,0.04005257710814465,0.052660664524883265,0.06594046931712993,0.33416393399238586,3.322224898837691
text,mlp.c_proj.weight,2359296,10,2.0737919825819517e-08,0.039853739738464275,0.052638177145272504,0.06764834443852229,0.2835558354854584,3.252371370612472
text,mlp.c_proj.weight,2359296,11,2.4624116079507985e-09,0.03709378987550735,0.049512718021869684,0.06266289445757053,0.12175226211547852,3.2207147468979427
vision,attn.in_proj_bias,3072,0,5.527176085706742e-07,2.992020449638366,3.5217941217422695,3.7840632298468577,3.850445032119751,10.82132088830159
vision,attn.in_proj_bias,3072,1,1.4315409316623118e-05,2.6431659293174743,3.489130483627367,3.563113314533225,3.56887149810791,9.876405404494594
