layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis,kurtosis_scaled,sensitivity
0,mlp.up_proj,8,64,8,128,0.5693359375,44.36474609375,45088768,3.1257809370322978,0.01611704485191324,5.712635919863374e-10
0,mlp.up_proj,8,128,8,128,0.6416015625,43.682373046875,45088768,3.1257809370322978,0.01611704485191324,7.77708064614302e-10
0,mlp.down_proj,2,32,8,128,42.21875,13.4794921875,45088768,3.941024313230316,0.16271539479791372,1.7461843526689336e-5
0,mlp.down_proj,2,64,8,128,49.40625,12.11474609375,45088768,3.941024313230316,0.16271539479791372,2.4729688448132947e-5
0,mlp.down_proj,2,128,8,128,56.0625,11.432373046875,45088768,3.941024313230316,0.16271539479791372,3.3337328204652295e-5
0,mlp.down_proj,3,32,8,128,18.09375,18.8544921875,45088768,3.941024313230316,0.16271539479791372,3.4292393138457555e-6
0,mlp.down_proj,3,64,8,128,21.21875,17.48974609375,45088768,3.941024313230316,0.16271539479791372,4.970005647919606e-6
0,mlp.down_proj,3,128,8,128,24.171875,16.807373046875,45088768,3.941024313230316,0.16271539479791372,7.136275144148385e-6
0,mlp.down_proj,4,32,8,128,8.4453125,24.2294921875,45088768,3.941024313230316,0.16271539479791372,7.415872573801607e-7
0,mlp.down_proj,4,64,8,128,9.9140625,22.86474609375,45088768,3.941024313230316,0.16271539479791372,1.116492285291315e-6
0,mlp.down_proj,4,128,8,128,11.296875,22.182373046875,45088768,3.941024313230316,0.16271539479791372,1.6233066162385512e-6
0,mlp.down_proj,8,32,8,128,0.51123046875,45.7294921875,45088768,3.941024313230316,0.16271539479791372,2.7351425568866712e-9
0,mlp.down_proj,8,64,8,128,0.59912109375,44.36474609375,45088768,3.941024313230316,0.16271539479791372,4.044820478554811e-9
0,mlp.down_proj,8,128,8,128,0.68115234375,43.682373046875,45088768,3.941024313230316,0.16271539479791372,5.838619365761133e-9
1,self_attn.q_proj,2,32,8,128,45.1875,5.015625,16777216,9.506592860422105,0.08048206904105294,4.704909224528819e-5
1,self_attn.q_proj,2,64,8,128,53.125,4.5078125,16777216,9.506592860422105,0.08048206904105294,9.536586730973796e-5
