model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Qwen3.5-2B,hqq,b4g64,4.25,,12.3989,17.6626,3.74,3.74,3.259502410888672,2000000000
Qwen3.5-9B,hqq,b3g128,3.13,,8.8892,13.6882,9.78,9.78,23.26959872245789,9000000000
Qwen3.5-4B,hqq,b8g32,8.51,,9.1452,13.3912,7.56,7.55,7.975534915924072,4000000000
Qwen3.5-9B,hqq,b3g64,3.25,,9.4473,13.1499,9.94,9.94,21.89649534225464,9000000000
Qwen3.5-9B,hqq,b8g32,8.51,,8.2396,11.6862,13.21,13.21,16.984254121780396,9000000000
Qwen3.5-2B,hqq,b4g32,4.51,,11.9541,17.3535,3.8,3.8,3.1990320682525635,2000000000
Qwen3.5-4B,hqq,b8g64,8.25,,9.1606,13.3917,7.41,7.41,8.434076309204102,4000000000
Qwen3.5-4B,hqq,b3g128,3.13,,10.7862,15.7781,5.9,5.9,9.647890329360962,4000000000
Qwen3.5-2B,hqq,b2g32,2.51,,50.5691,62.4298,3.57,3.57,3.3378498554229736,2000000000
Qwen3.5-4B,hqq,b8g128,8.13,,9.1418,13.3923,7.33,7.33,7.469387531280518,4000000000
Qwen3.5-2B,hqq,b8g64,8.25,,11.6834,16.851,4.2,4.2,2.833146333694458,2000000000
Qwen3.5-9B,hqq,b2g16,3.02,,13.3256,18.1732,10.12,10.12,18.145265102386475,9000000000
Qwen3.5-4B,hqq,b4g64,4.25,,9.3762,13.7116,6.21,6.21,9.583334922790527,4000000000
Qwen3.5-9B,hqq,b4g32,4.51,,8.4251,11.8977,10.74,10.74,18.97926139831543,9000000000
Qwen3.5-2B,hqq,b3g128,3.13,,16.5348,22.7264,3.62,3.62,3.156493186950684,2000000000
Qwen3.5-4B,hqq,b2g32,2.51,,23.0058,28.1977,5.77,5.77,8.18926453590393,4000000000
Qwen3.5-9B,hqq,b2g32,2.51,,25.7023,36.6323,9.5,9.5,18.458730459213257,9000000000
Qwen3.5-9B,hqq,b8g128,8.13,,8.2395,11.6865,12.74,12.74,15.849071979522703,9000000000
Qwen3.5-2B,hqq,b3g32,3.51,,13.2129,19.3689,3.71,3.7,3.248537540435791,2000000000
Qwen3.5-4B,hqq,b4g32,4.51,,9.2625,13.6249,6.36,6.36,8.857075691223145,4000000000
Qwen3.5-4B,hqq,b2g16,3.02,,14.2922,19.3776,6.07,6.07,8.676561832427979,4000000000
Qwen3.5-4B,fp16,base,16,,9.1582,13.3954,7.83,8.68,,4000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-2-0,9.3637,13.7047,6.32,6.25,8.258919954299927,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-2-0,8.8708,12.8604,10.07,9.98,22.424005270004272,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-2-0,12.4255,17.7743,3.72,3.72,2.8315365314483643,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-2-0,11.9649,17.3473,3.84,3.83,2.7825253009796143,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-2-0,14.93,20.8112,3.65,3.64,3.068188428878784,2000000000
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-2-0,13.5734,19.4111,3.67,3.66,2.985569715499878,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-2-0,12.5623,18.5489,3.72,3.71,3.0046725273132324,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-2-0,10.0354,14.3514,6.17,6.13,8.263712882995605,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-2-0,10.3228,15.3229,5.95,5.93,8.841165781021118,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-2-0,8.6975,12.0396,10.32,10.3,20.62171959877014,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-2-0,9.2834,13.6222,6.46,6.38,9.144691228866575,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-2-0,8.5377,11.9354,10.54,10.52,19.83076119422913,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-2-0,9.1175,12.4651,10.35,10.26,21.3854296207428,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-2-0,10.3717,14.8023,6.01,6,10.011680364608765,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-2-0,12.3841,17.5469,3.78,3.78,2.750650644302368,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-2-0,8.5539,13.2885,9.93,9.84,22.806918144226078,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-2-0,9.4054,13.807,6.23,6.15,9.616393804550173,4000000000
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-2-0,8.5025,11.8966,10.82,10.8,19.811094760894772,9000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-2-1,9.3702,13.7089,6.3,6.22,8.017542123794556,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-2-1,8.8813,12.8741,10.07,9.98,22.6012601852417,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-2-1,12.3078,17.7876,3.72,3.72,2.8406405448913574,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-2-1,11.9911,17.3821,3.81,3.81,3.673916101455689,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-2-1,15.0731,20.9652,3.65,3.63,3.06430983543396,2000000000
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-2-1,13.7935,19.5254,3.67,3.66,3.0002880096435547,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-2-1,12.566,18.6358,3.72,3.71,3.0168864727020264,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-2-1,10.0415,14.3639,6.17,6.13,8.294418811798096,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-2-1,10.3253,15.3315,5.94,5.93,8.80625295639038,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-2-1,8.6859,12.0407,10.31,10.29,20.925400733947757,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-2-1,9.2883,13.6255,6.44,6.36,10.254414558410645,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-2-1,8.5307,11.9381,10.5,10.47,20.06926918029785,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-2-1,9.1529,12.4746,10.35,10.26,20.08773159980774,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-2-1,10.3856,14.8196,6.01,6,10.222440004348757,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-2-1,12.3852,17.6211,3.76,3.76,2.800053834915161,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-2-1,8.5539,13.295,9.92,9.83,23.137766122817997,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-2-1,9.4054,13.8091,6.22,6.15,9.904314517974854,4000000000
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-2-1,8.5049,11.8983,10.77,10.76,22.85524845123291,9000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-2-2,9.3673,13.7076,6.31,6.23,8.257847309112549,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-2-2,8.8792,12.8676,10.07,9.98,22.31786561012268,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-2-2,12.3252,17.777,3.72,3.72,2.836350202560425,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-2-2,11.9927,17.3712,3.83,3.82,2.778954029083252,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-2-2,15.1225,20.8964,3.65,3.63,3.0801234245300293,2000000000
