model,algo,config,bpp,zeroshot_mem_allot,zeroshot_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls,linear_probe_mem_allot,linear_probe_mem_reserved,acc1_linear_probe,acc5_linear_probe,recall_linear_probe,duration_linear_probe
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,b8g32,8.51,2745.5732421875,2768,0.77936,0.95226,0.7794200000000001,253.0357608795166,2996.267578125,3328,0.7953,0.9542,0.79536,5651.640073
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,b8g64,8.25,2453.67138671875,2868,0.77936,0.95216,0.77934,253.50478506088257,2960.392578125,3054,0.7952,0.9541,0.79524,5661.854148
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,2_20,2.2,1994.93798828125,2728,0.5839,0.84888,0.58376,248.6138243675232,5633.9716796875,9342,0.72906,0.92072,0.7289,4802.375846862793
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,2_25,2.25,1999.48974609375,2668,0.6162,0.86834,0.61614,249.70466470718384,5636.6640625,9308,0.73918,0.92558,0.7389600000000001,4806.175360918045
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,2_46,2.46,2016.44677734375,2660,0.64764,0.88846,0.6479400000000001,250.2093288898468,5652.8662109375,9286,0.74406,0.92958,0.7440399999999999,4795.576543569565
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,2_51,2.51,2019.27490234375,2566,0.6458,0.88562,0.6455599999999999,256.29225873947144,5650.12109375,8840,0.74196,0.92768,0.7420399999999999,4861.056388378143
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,2_96,2.96,2079.97802734375,2798,0.71108,0.92096,0.7111200000000001,251.76954698562625,5715.81640625,9256,0.77518,0.94334,0.77524,6478.146624803543
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,2_99,2.99,2078.34521484375,2850,0.71894,0.9256,0.71878,250.6050159931183,5722.67578125,9256,0.78036,0.94542,0.78036,7994.195727109909
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,3_16,3.16,2096.76416015625,2850,0.75334,0.94218,0.7533800000000002,251.8450186252594,2041.6669921875,9266,0.79092,0.95314,0.7908,103.84661412239076
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,3_19,3.19,2114.41943359375,2870,0.7528,0.94152,0.7529000000000001,252.1253638267517,5755.1640625,9266,0.7922,0.9529,0.7921,4843.43253993988
CLIP-ViT-H-14-laion2B-s32B-b79K,mxq,3_23,3.23,2123.26611328125,2870,0.75986,0.94492,0.75964,252.8214728832245,2049.7880859375,2440,0.79514,0.95474,0.79522,96.38240718841551
