model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Llama-2-7b-hf,mxq,3_51,3.51,kurt-abl-2-1,5.617,7.5349,3.93,3.88,21.61167907714844,7000000000
Llama-2-7b-hf,mxq,4_13,4.13,kurt-abl-2-1,5.3435,7.1618,3.66,3.61,21.449938774108887,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,kurt-abl-2-1,7.786,12.315,5.03,5.01,27.04887008666992,8000000000
Llama-2-13b-hf,mxq,4_25,4.25,kurt-abl-2-1,4.6976,6.5387,7.14,7.04,39.30905175209045,13000000000
Llama-2-7b-hf,mxq,4_51,4.51,kurt-abl-2-1,5.2841,7.0694,4.02,3.98,18.81726837158203,7000000000
Llama-2-7b-hf,mxq,4_25,4.25,kurt-abl-2-1,5.3054,7.1132,3.84,3.79,19.939498901367188,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,kurt-abl-2-1,5.8088,7.7881,3.33,3.33,22.36295866966248,7000000000
Llama-2-13b-hf,mxq,4_51,4.51,kurt-abl-2-1,4.6904,6.5114,7.44,7.41,37.556180000305176,13000000000
Meta-Llama-3-8B,mxq,4_25,4.25,kurt-abl-2-1,6.189,9.6024,5.45,5.45,25.388065099716187,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,kurt-abl-2-1,9.2741,14.8506,4.73,4.71,29.69045901298523,8000000000
Llama-2-13b-hf,mxq,3_51,3.51,kurt-abl-2-1,4.8799,6.7729,7.29,7.26,43.94935393333435,13000000000
Llama-2-7b-hf,mxq,3_13,3.13,kurt-abl-2-1,6.179,8.372,3.13,3.06,23.595956087112427,7000000000
Meta-Llama-3-8B,mxq,4_13,4.13,kurt-abl-2-1,6.377,9.9325,5.31,5.31,30.60786747932434,8000000000
Llama-2-13b-hf,mxq,4_13,4.13,kurt-abl-2-2,4.7339,6.5652,6.76,6.74,40.362701416015625,13000000000
