model,algo,config,config_detail,quant_duration,load_mem_allot,load_mem_reserved,zeroshot_mem_allot,zeroshot_mem_reserved,linear_probe_mem_allot,linear_probe_mem_reserved,acc1_zeroshot_cls,acc5_zeroshot_cls,recall_zeroshot_cls,duration_zeroshot_cls,acc1_linear_probe,acc5_linear_probe,recall_linear_probe,duration_linear_probe
CLIP-ViT-L-14-laion2B-s32B-b82K,hqq,b3g128,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': False, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,1172461056,1616904192,0,0,0.7292,0.9314,0.72924,120.56766819953918,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,b2g32,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 32, 'optimize': True, 'round_zero': False, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,2149970432,2707423232,0,0,0.71986,0.9277,0.7203,233.6767327785492,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,b2g64,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': False, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,2111173120,2669674496,0,0,0.67266,0.90354,0.6725,234.00782084465027,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b3g128,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': False, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,367901184,501219328,0,0,0.48216,0.75936,0.48212,55.475133180618286,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,b8g128,"{'weight_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': False, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,2556619264,3141533696,0,0,0.77934,0.95236,0.77934,233.09771299362183,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,hqq,b4g32,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 32, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,1221170688,1646264320,0,0,0.75094,0.94214,0.75068,116.98301815986632,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,b4g128,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,2246240768,2814377984,0,0,0.77672,0.95176,0.77676,232.67711782455444,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,hqq,b4g128,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,1196987904,1621098496,0,0,0.74798,0.93954,0.74786,117.0099561214447,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b3g64,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': False, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,370457088,503316480,0,0,0.55212,0.8225,0.5520999999999999,55.792211055755615,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,hqq,b8g64,"{'weight_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': False, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,1333835264,1755316224,0,0,0.75252,0.94248,0.7525,117.84362649917604,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,b2g16,"{'weight_quant_params': {'nbits': 2, 'channel_wise': True, 'group_size': 16, 'optimize': True, 'round_zero': False, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,2227565056,2808086528,0,0,0.74628,0.93934,0.74646,234.91789937019348,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,hqq,b8g128,"{'weight_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': False, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,1325200896,1776287744,0,0,0.75216,0.94258,0.75224,120.89821434020996,0,0,0,0
CLIP-ViT-H-14-laion2B-s32B-b79K,hqq,b8g64,"{'weight_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': False, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,2576017920,3160408064,0,0,0.7796,0.95236,0.7794800000000001,233.69635581970212,0,0,0,0
CLIP-ViT-B-32-laion2B-s34B-b79K,hqq,b4g128,"{'weight_quant_params': {'nbits': 4, 'channel_wise': True, 'group_size': 128, 'optimize': True, 'round_zero': True, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,378026496,515899392,0,0,0.6336,0.88038,0.63378,54.87774586677551,0,0,0,0
CLIP-ViT-L-14-laion2B-s32B-b82K,hqq,b3g64,"{'weight_quant_params': {'nbits': 3, 'channel_wise': True, 'group_size': 64, 'optimize': True, 'round_zero': False, 'axis': 1, 'view_as_float': False}, 'scale_quant_params': {'nbits': 8, 'channel_wise': True, 'group_size': 128, 'optimize': False}, 'zero_quant_params': None, 'offload_meta': False, 'mixed': False, 'budget': 4.0}",0,0,0,1180521984,1625292800,0,0,0.73422,0.93472,0.7343800000000001,119.80881810188292,0,0,0,0
