model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Qwen3.5-4B,hqq,b2g16,3.02,,14.2922,19.3776,6.07,6.07,8.676561832427979,4000000000
Qwen3.5-4B,fp16,base,16,,9.1582,13.3954,7.83,8.68,,4000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-2-0,9.3637,13.7047,6.32,6.25,8.258919954299927,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-2-0,8.8708,12.8604,10.07,9.98,22.424005270004272,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-2-0,12.4255,17.7743,3.72,3.72,2.8315365314483643,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-2-0,11.9649,17.3473,3.84,3.83,2.7825253009796143,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-2-0,14.93,20.8112,3.65,3.64,3.068188428878784,2000000000
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-2-0,13.5734,19.4111,3.67,3.66,2.985569715499878,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-2-0,12.5623,18.5489,3.72,3.71,3.0046725273132324,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-2-0,10.0354,14.3514,6.17,6.13,8.263712882995605,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-2-0,10.3228,15.3229,5.95,5.93,8.841165781021118,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-2-0,8.6975,12.0396,10.32,10.3,20.62171959877014,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-2-0,9.2834,13.6222,6.46,6.38,9.144691228866575,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-2-0,8.5377,11.9354,10.54,10.52,19.83076119422913,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-2-0,9.1175,12.4651,10.35,10.26,21.3854296207428,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-2-0,10.3717,14.8023,6.01,6,10.011680364608765,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-2-0,12.3841,17.5469,3.78,3.78,2.750650644302368,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-2-0,8.5539,13.2885,9.93,9.84,22.806918144226078,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-2-0,9.4054,13.807,6.23,6.15,9.616393804550173,4000000000
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-2-0,8.5025,11.8966,10.82,10.8,19.811094760894772,9000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-2-1,9.3702,13.7089,6.3,6.22,8.017542123794556,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-2-1,8.8813,12.8741,10.07,9.98,22.6012601852417,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-2-1,12.3078,17.7876,3.72,3.72,2.8406405448913574,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-2-1,11.9911,17.3821,3.81,3.81,3.673916101455689,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-2-1,15.0731,20.9652,3.65,3.63,3.06430983543396,2000000000
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-2-1,13.7935,19.5254,3.67,3.66,3.0002880096435547,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-2-1,12.566,18.6358,3.72,3.71,3.0168864727020264,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-2-1,10.0415,14.3639,6.17,6.13,8.294418811798096,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-2-1,10.3253,15.3315,5.94,5.93,8.80625295639038,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-2-1,8.6859,12.0407,10.31,10.29,20.925400733947757,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-2-1,9.2883,13.6255,6.44,6.36,10.254414558410645,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-2-1,8.5307,11.9381,10.5,10.47,20.06926918029785,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-2-1,9.1529,12.4746,10.35,10.26,20.08773159980774,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-2-1,10.3856,14.8196,6.01,6,10.222440004348757,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-2-1,12.3852,17.6211,3.76,3.76,2.800053834915161,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-2-1,8.5539,13.295,9.92,9.83,23.137766122817997,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-2-1,9.4054,13.8091,6.22,6.15,9.904314517974854,4000000000
Qwen3.5-9B,mxq,4_51,4.51,kurt-boost-2-1,8.5049,11.8983,10.77,10.76,22.85524845123291,9000000000
Qwen3.5-4B,mxq,4_25,4.25,kurt-boost-2-2,9.3673,13.7076,6.31,6.23,8.257847309112549,4000000000
Qwen3.5-9B,mxq,3_25,3.25,kurt-boost-2-2,8.8792,12.8676,10.07,9.98,22.31786561012268,9000000000
Qwen3.5-2B,mxq,4_13,4.13,kurt-boost-2-2,12.3252,17.777,3.72,3.72,2.836350202560425,2000000000
Qwen3.5-2B,mxq,4_51,4.51,kurt-boost-2-2,11.9927,17.3712,3.83,3.82,2.778954029083252,2000000000
Qwen3.5-2B,mxq,3_13,3.13,kurt-boost-2-2,15.1225,20.8964,3.65,3.63,3.0801234245300293,2000000000
Qwen3.5-2B,mxq,3_25,3.25,kurt-boost-2-2,13.8106,19.4588,3.67,3.66,3.706468105316162,2000000000
Qwen3.5-2B,mxq,3_51,3.51,kurt-boost-2-2,12.5541,18.5966,3.72,3.71,3.0272884368896484,2000000000
Qwen3.5-4B,mxq,3_51,3.51,kurt-boost-2-2,10.0384,14.359,6.17,6.13,8.325087547302246,4000000000
Qwen3.5-4B,mxq,3_13,3.13,kurt-boost-2-2,10.3278,15.3285,5.95,5.93,10.438029050827026,4000000000
Qwen3.5-9B,mxq,4_13,4.13,kurt-boost-2-2,8.693,12.0391,10.31,10.3,20.5791654586792,9000000000
Qwen3.5-4B,mxq,4_51,4.51,kurt-boost-2-2,9.2856,13.6242,6.45,6.37,9.188554763793944,4000000000
Qwen3.5-9B,mxq,4_25,4.25,kurt-boost-2-2,8.5368,11.937,10.52,10.5,19.589141845703125,9000000000
Qwen3.5-9B,mxq,3_51,3.51,kurt-boost-2-2,9.1259,12.469,10.35,10.26,21.470040321350098,9000000000
Qwen3.5-4B,mxq,3_25,3.25,kurt-boost-2-2,10.3726,14.8117,6.01,6,10.23829174041748,4000000000
Qwen3.5-2B,mxq,4_25,4.25,kurt-boost-2-2,12.3745,17.5848,3.77,3.77,3.2712295055389404,2000000000
Qwen3.5-9B,mxq,3_13,3.13,kurt-boost-2-2,8.5569,13.2958,9.93,9.84,22.890414714813232,9000000000
Qwen3.5-4B,mxq,4_13,4.13,kurt-boost-2-2,9.4082,13.8083,6.22,6.15,9.535375118255615,4000000000
