model,module,layer,memmb,param_cnt,bit_budget,b1,g1,b2,g2,params_quant_tot,params_all_tot
Qwen3.5-2B,mlp.gate_proj,1,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.up_proj,10,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.up_proj,8,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,self_attn.v_proj,11,2.126953125,4194304,3.25,4,64,8,128,1570915520,3298387392
Qwen3.5-2B,self_attn.k_proj,23,2.126953125,4194304,3.25,4,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.gate_proj,5,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.gate_proj,13,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.up_proj,2,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.up_proj,0,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.down_proj,1,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,self_attn.v_proj,19,2.126953125,4194304,3.25,4,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.gate_proj,12,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.up_proj,12,5.206294685602188,13421888,3.25,3,64,8,128,1570915520,3298387392
Qwen3.5-2B,mlp.down_proj,5,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.q_proj,7,17.015625,33554432,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,9,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.k_proj,15,2.126953125,4194304,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,10,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,3,25.5234375,50331648,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,18,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,19,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.up_proj,16,25.5234375,50331648,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,16,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,4,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.up_proj,6,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.o_proj,15,8.5078125,16777216,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.up_proj,18,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.q_proj,23,17.015625,33554432,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,10,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,7,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.up_proj,21,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,22,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.v_proj,3,0.4677279591560364,1118528,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.up_proj,5,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,6,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,14,25.5234375,50331648,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,20,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.up_proj,17,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,19,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.o_proj,7,8.5078125,16777216,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,13,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,0,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,9,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,15,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,22,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.o_proj,23,8.5078125,16777216,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,23,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.q_proj,15,17.015625,33554432,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,20,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,18,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,2,25.5234375,50331648,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.up_proj,22,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,21,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.up_proj,15,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.v_proj,23,2.126953125,4194304,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.k_proj,11,2.126953125,4194304,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,17,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.up_proj,23,25.5234375,50331648,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.k_proj,19,2.126953125,4194304,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,15,25.5234375,50331648,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.up_proj,3,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.q_proj,11,17.015625,33554432,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.down_proj,8,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,self_attn.o_proj,19,8.5078125,16777216,3.51,4,64,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.gate_proj,4,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
Qwen3.5-2B,mlp.up_proj,1,5.6125481724739075,13421888,3.51,3,32,8,128,1570914560,3298386432
